Numer	K18-2001-Niedzica-112570-126110-bUtY,wIgoń - segmenty.txt	tmin	tier	text	tmax	Mówca	Próbka	f1	f2	f3	f4	Max f1	Max f2	Max f3	Max f4	Min f1	Min f2	Min f3	Min f4	f1'	f2'	f3'	f4'
954195	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły - segmenty.txt	0,079761	informator	o	0,109693	K18-2001-Niedzica	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły	626,1994532	1707,134251	2764,531286	3881,521442	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,440633603	0,432076964	0,844012149	0,547018588
	M12-1998-Niedzica-68700-78600-tÉż,przyzwYczaJenia,pOcIsną,bO,tO,praktYcznie,wszYscy,gÁdaJą - segmenty.txt	8,652723	informator	a	8,714113	M12-1998-Niedzica	M12-1998-Niedzica-68700-78600-tÉż,przyzwYczaJenia,pOcIsną,bO,tO,praktYcznie,wszYscy,gÁdaJą	620,5997156	1561,53676	2321,800768	3789,537692	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,85226314	0,599192748	0,463606264	0,603319688
1539219	K18-2001-Niedzica-213300-218680-tÉż,maŁy,to Jest,chŁopak,chłopAk,tAk,gÁda - segmenty.txt	1,558451	informator	ł	1,617992	K18-2001-Niedzica	K18-2001-Niedzica-213300-218680-tÉż,maŁy,to Jest,chŁopak,chłopAk,tAk,gÁda	618,3596124	1580,044273	2527,171384	3896,893917	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,430038231	0,227099629	0,396245503	0,572311008
1539448	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły - segmenty.txt	0,990686	informator	e	1,101434	K18-2001-Niedzica	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły	614,0542228	1806,439287	2650,099227	3954,648005	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,424219592	0,592241296	0,628142245	0,667334132
954195	K18-2001-Niedzica-112570-126110-bUtY,wIgoń - segmenty.txt	3,048111	informator	o	3,124121	K18-2001-Niedzica	K18-2001-Niedzica-112570-126110-bUtY,wIgoń	607,6577059	1690,195062	2534,542555	3797,245994	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,415574841	0,404756557	0,410150819	0,40835972
	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły - segmenty.txt	7,962945	informator	j	8,026799	K18-2001-Niedzica	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły	589,3500267	1939,47826	2774,749944	4156,838933	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,390832417	0,806813479	0,863289094	1
	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	2,79882	informator	a	2,866831	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	585,6679605	1671,094869	2573,770203	3927,103566	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,385856186	0,373950771	0,484151659	0,622015112
1539219	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY - segmenty.txt	5,376254	informator	ł	5,416473	M12-1998-Niedzica	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY	585,127424	1567,119206	2644,542477	3840,810103	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,753247669	0,606367799	0,894096375	0,737506759
953713	K18-2001-Niedzica-571230-575980-Otworzyła,tAta,ścigÁł - segmenty.txt	0,338752	informator	o	0,416477	K18-2001-Niedzica	K18-2001-Niedzica-571230-575980-Otworzyła,tAta,ścigÁł	579,8687279	1612,569503	2604,469332	3848,252735	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,378018651	0,279558014	0,54206391	0,492281398
954144	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA - segmenty.txt	3,522979	informator	e	3,560438	K18-2001-Niedzica	K18-2001-Niedzica-376740-384920-ktO,kUpOwać,brAtA,hEt,gAzdÓwkA	579,164637	1690,24476	2625,602099	3969,48667	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,377067088	0,404836712	0,581929734	0,69174827
954398	M12-1998-Niedzica-68700-78600-tÉż,przyzwYczaJenia,pOcIsną,bO,tO,praktYcznie,wszYscy,gÁdaJą - segmenty.txt	9,019486	informator	j	9,063386	M12-1998-Niedzica	M12-1998-Niedzica-68700-78600-tÉż,przyzwYczaJenia,pOcIsną,bO,tO,praktYcznie,wszYscy,gÁdaJą	573,0715203	1401,70523	2209,323241	3682,876943	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,71959546	0,393763182	0,313577737	0,324173593
1539219	K18-2001-Niedzica-112570-126110-bUtY,wIgoń - segmenty.txt	5,723536	informator	o	5,843618	K18-2001-Niedzica	K18-2001-Niedzica-112570-126110-bUtY,wIgoń	571,2254412	1802,922293	2637,497627	3871,073355	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,36633744	0,586568905	0,604370005	0,529828291
954538	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły - segmenty.txt	12,664535	informator	o	12,720408	K18-2001-Niedzica	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły	569,127826	1538,908711	2317,122703	3700,869622	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,36350256	0,160754052	0	0,249791135
	M12-1998-Niedzica-89656-92480-gŁównie,tO,wŁaśnie,kolegÓw,tO,niedzicY - segmenty.txt	0,844015	informator	ł	0,873856	M12-1998-Niedzica	M12-1998-Niedzica-89656-92480-gŁównie,tO,wŁaśnie,kolegÓw,tO,niedzicY	567,6899386	1525,1564	2471,549737	3851,648648	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,704573599	0,552433503	0,663349428	0,765872745
1539448	M12-1998-Niedzica-226250-241410-neJI,tÉż,rÓżne,zEspoŁy,byŁy,JakbY,odgrYwaŁo - segmenty.txt	13,603768	informator	ł	13,645247	M12-1998-Niedzica	M12-1998-Niedzica-226250-241410-neJI,tÉż,rÓżne,zEspoŁy,byŁy,JakbY,odgrYwaŁo	564,2716028	1095,343429	1974,231627	3699,755647	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,695031838	0	0	0,368347519
954796	K18-2001-Niedzica-112570-126110-bUtY,wIgoń - segmenty.txt	3,844555	informator	o	3,941003	K18-2001-Niedzica	K18-2001-Niedzica-112570-126110-bUtY,wIgoń	560,6117696	1771,571324	2561,59327	3938,051987	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,351993298	0,53600443	0,461180532	0,64002861
	M12-1998-Niedzica-89656-92480-gŁównie,tO,wŁaśnie,kolegÓw,tO,niedzicY - segmenty.txt	0,595687	informator	e	0,625195	M12-1998-Niedzica	M12-1998-Niedzica-89656-92480-gŁównie,tO,wŁaśnie,kolegÓw,tO,niedzicY	554,5372136	1604,177119	2626,116193	3724,094915	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,667859781	0,653997894	0,869518414	0,432046789
	K18-2001-Niedzica-653720-661325-wtEdy,tÉż,bAbka,zOstaje,zostaJe - segmenty.txt	5,761167	informator	j	5,831484	K18-2001-Niedzica	K18-2001-Niedzica-653720-661325-wtEdy,tÉż,bAbka,zOstaje,zostaJe	553,0285015	1797,955978	2645,275535	3880,856766	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,341744679	0,578558974	0,619042609	0,545924993
1539140	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły - segmenty.txt	6,59676	informator	o	6,653507	K18-2001-Niedzica	K18-2001-Niedzica-482690-496790-OpOwiadała,żE,pOtem,krOwY,Od,dziadkÓw,dOstała,dOpłakano,krOwy,pOtraciły	551,4373515	1564,500727	2538,023665	3816,196288	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,339594274	0,202030189	0,416717744	0,439538746
1539237	K18-2001-Niedzica-523981-530200-tÉgo,środEk,dziadEk,zAczął,tOpić,skOczyli,rAtOwali - segmenty.txt	2,819333	informator	e	2,868236	K18-2001-Niedzica	K18-2001-Niedzica-523981-530200-tÉgo,środEk,dziadEk,zAczął,tOpić,skOczyli,rAtOwali	549,9795914	1681,100613	2602,57326	3908,68148	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,337624144	0,390088557	0,538487071	0,59170515
953846	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY - segmenty.txt	3,590938	informator	a	3,701011	M12-1998-Niedzica	M12-1998-Niedzica-148792-160010-zA,pAs,byŁo,bEz,pŁot,skÁkać,braŁo,chUdY	547,0257701	1712,075611	2626,211195	3830,271437	673,5264448	1873,379099	2723,93923	3941,107855	315,2764516	1095,343429	1974,231627	3559,011345	0,646892737	0,792678544	0,869645133	0,709925594
1024523	K18-2001-Niedzica-276630-284600-tÉż,Jak,czy Jak,jÁ,gÁdką,sObą,gÁdały,gadaŁy - segmenty.txt	6,268791	informator	o	6,340475	K18-2001-Niedzica	K18-2001-Niedzica-276630-284600-tÉż,Jak,czy Jak,jÁ,gÁdką,sObą,gÁdały,gadaŁy	546,2835226	1590,176486	2601,602076	3863,095442	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,332628989	0,24344139	0,536654986	0,516702187
1539203	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO - segmenty.txt	5,400326	informator	o	5,443735	K18-2001-Niedzica	K18-2001-Niedzica-268726-275660-bAbkA,trOszeczke,AlE,zA,dUżo,A,gÓtkA,gAdA,wszYstkich,pO	545,7171589	1741,945375	2686,54679	3957,370336	1040,091828	2059,257702	2847,220029	4156,838933	300,1611193	1439,238037	2317,122703	3549,049114	0,33186356	0,488222157	0,696898605	0,671813198
